Ticker,date,month,open,high,low,close,volume
M&M,2023-10-04 05:30:00,2023-10,1531.8,1537.9,1501.75,1522.1,2580901
GRASIM,2023-10-04 05:30:00,2023-10,1898.45,1902.44,1869.62,1888.34,687673
ICICIBANK,2023-10-04 05:30:00,2023-10,935.0,935.5,925.0,930.05,17334739
ADANIENT,2023-10-04 05:30:00,2023-10,2402.2,2502.75,2392.25,2464.95,2857377
ADANIPORTS,2023-10-04 05:30:00,2023-10,830.95,845.45,819.35,824.6,4096647
BEL,2023-10-04 05:30:00,2023-10,138.0,139.15,136.55,138.85,14912053
BAJAJFINSV,2023-10-04 05:30:00,2023-10,1555.0,1555.85,1521.15,1532.55,1614123
EICHERMOT,2023-10-04 05:30:00,2023-10,3350.0,3408.95,3323.75,3400.9,566983
COALINDIA,2023-10-04 05:30:00,2023-10,290.8,291.5,285.9,287.95,6338888
MARUTI,2023-10-04 05:30:00,2023-10,10283.9,10283.9,10090.0,10129.8,407793
INDUSINDBK,2023-10-04 05:30:00,2023-10,1424.85,1428.5,1386.2,1401.3,3978667
ASIANPAINT,2023-10-04 05:30:00,2023-10,3164.95,3189.0,3151.35,3169.9,892584
TATASTEEL,2023-10-04 05:30:00,2023-10,127.0,127.1,124.5,125.3,33272725
HDFCLIFE,2023-10-04 05:30:00,2023-10,631.0,632.0,624.25,625.5,2357914
DRREDDY,2023-10-04 05:30:00,2023-10,1093.0,1099.8,1080.3,1083.56,2109530
SUNPHARMA,2023-10-04 05:30:00,2023-10,1138.1,1139.0,1113.0,1123.8,1803871
KOTAKBANK,2023-10-04 05:30:00,2023-10,1715.0,1727.0,1709.0,1722.05,6220979
SHRIRAMFIN,2023-10-04 05:30:00,2023-10,1909.0,1919.95,1841.5,1850.6,1340167
NESTLEIND,2023-10-04 05:30:00,2023-10,2280.51,2335.88,2255.1,2298.62,2134880
ONGC,2023-10-04 05:30:00,2023-10,184.45,184.6,182.1,182.75,9360058
CIPLA,2023-10-04 05:30:00,2023-10,1178.1,1185.0,1161.3,1167.05,999123
BPCL,2023-10-04 05:30:00,2023-10,170.68,172.48,169.78,170.68,6049760
BRITANNIA,2023-10-04 05:30:00,2023-10,4490.0,4540.0,4466.75,4532.5,318564
SBILIFE,2023-10-04 05:30:00,2023-10,1291.6,1297.7,1264.35,1270.55,1139615
HINDALCO,2023-10-04 05:30:00,2023-10,474.0,477.9,470.0,473.4,3302259
HEROMOTOCO,2023-10-04 05:30:00,2023-10,3015.95,3020.0,2976.05,2989.05,307263
AXISBANK,2023-10-04 05:30:00,2023-10,1035.35,1037.0,988.85,995.55,22584212
HDFCBANK,2023-10-04 05:30:00,2023-10,1495.0,1535.0,1489.25,1529.55,27324715
BAJAJ-AUTO,2023-10-04 05:30:00,2023-10,5011.25,5019.2,4903.05,4918.6,256544
SBIN,2023-10-05 05:30:00,2023-10,590.0,594.35,587.1,592.15,13248028
BAJFINANCE,2023-10-05 05:30:00,2023-10,7914.85,7914.85,7826.9,7850.9,795061
TITAN,2023-10-05 05:30:00,2023-10,3173.9,3231.0,3165.0,3216.5,1109881
ITC,2023-10-05 05:30:00,2023-10,440.0,440.5,435.05,436.05,10030257
TCS,2023-10-05 05:30:00,2023-10,3554.0,3624.0,3551.2,3589.35,2990768
