month,Ticker,open_avg,high_avg,low_avg,close_avg,volume_sum,rows
2024-10,ADANIENT,3012.615909090909,3053.3045454545454,2950.947727272727,3002.2045454545455,30210863,22
2024-10,ADANIPORTS,1395.9681818181818,1412.5568181818182,1372.1613636363636,1390.790909090909,45622925,22
2024-10,APOLLOHOSP,6986.006818181818,7041.584090909091,6904.795454545455,6970.772727272727,5459324,22
2024-10,ASIANPAINT,3063.468181818182,3083.440909090909,3020.709090909091,3043.8045454545454,20203893,22
2024-10,AXISBANK,1176.865909090909,1189.6000000000001,1161.793181818182,1171.7386363636363,220990545,22
2024-10,BAJAJ-AUTO,11058.470454545455,11219.311363636363,10834.077272727272,10981.631818181819,18041054,22
2024-10,BAJAJFINSV,1829.0704545454546,1847.7818181818182,1800.9931818181817,1818.1431818181818,30956770,22
2024-10,BAJFINANCE,7117.915909090909,7200.786363636363,7016.725,7086.002272727273,23789965,22
2024-10,BEL,280.2431818181818,284.7522727272727,275.9227272727273,280.3659090909091,423588111,22
2024-10,BHARTIARTL,1680.5431818181817,1696.5227272727273,1662.0272727272727,1676.9727272727273,96778877,22
2024-10,BPCL,335.09318181818185,338.96818181818185,328.7613636363636,332.59090909090907,227921102,22
2024-10,BRITANNIA,5975.329545454545,6024.804545454546,5895.247727272727,5947.004545454546,6740913,22
2024-10,CIPLA,1572.2727272727273,1585.7772727272727,1545.725,1563.6181818181817,58152990,22
2024-10,COALINDIA,482.9068181818182,487.99772727272733,475.45,480.61590909090904,165510596,22
2024-10,DRREDDY,1328.9936363636364,1336.2327272727273,1310.0963636363635,1320.6822727272727,34866441,22
2024-10,EICHERMOT,4745.506818181818,4804.906818181818,4680.693181818182,4746.268181818182,13906015,22
2024-10,GRASIM,2716.1477272727275,2742.218181818182,2681.5363636363636,2709.931818181818,12231593,22
2024-10,HCLTECH,1828.4272727272728,1852.084090909091,1811.6295454545455,1830.4772727272727,58621678,22
2024-10,HDFCBANK,1696.3113636363635,1714.440909090909,1682.090909090909,1697.1227272727272,362235279,22
2024-10,HDFCLIFE,722.1727272727272,731.1068181818182,712.6136363636364,721.915909090909,68297821,22
2024-10,HEROMOTOCO,5335.802272727273,5389.106818181818,5239.104545454546,5300.440909090909,15028315,22
2024-10,HINDALCO,725.8477272727273,735.7318181818182,713.5931818181817,723.3363636363637,108120369,22
2024-10,HINDUNILVR,2732.4386363636363,2750.418181818182,2689.4772727272725,2713.9454545454546,38895165,22
2024-10,ICICIBANK,1257.8818181818183,1273.0136363636364,1247.5454545454545,1258.784090909091,309154661,22
2024-10,INDUSINDBK,1291.4977272727274,1301.8545454545454,1264.515909090909,1276.909090909091,141709765,22
2024-10,INFY,1893.8522727272727,1917.3431818181818,1877.1136363636363,1893.5795454545455,124181223,22
2024-10,ITC,494.3931818181818,498.18409090909086,488.9113636363636,492.68863636363636,270509552,22
2024-10,JSWSTEEL,992.75,1003.4386363636364,977.8318181818181,988.8340909090908,43768193,22
2024-10,KOTAKBANK,1815.4113636363638,1835.3727272727272,1795.075,1814.025,106363281,22
2024-10,LT,3505.2613636363635,3542.9454545454546,3461.718181818182,3497.1727272727276,55908756,22
2024-10,M&M,2987.4795454545456,3032.0545454545454,2932.7272727272725,2978.1045454545456,81780828,22
2024-10,MARUTI,12266.79090909091,12375.447727272725,12030.772727272728,12170.975,15101231,22
2024-10,NESTLEIND,2454.431818181818,2466.086363636364,2413.3613636363634,2431.068181818182,25776403,22
2024-10,NTPC,420.37272727272733,424.75227272727267,414.3,418.93409090909086,304737058,22
2024-10,ONGC,281.67954545454546,283.9909090909091,276.5295454545454,280.0,304273551,22
2024-10,POWERGRID,329.2113636363636,332.5590909090909,324.91818181818184,328.12954545454545,292162721,22
2024-10,RELIANCE,1369.2622727272728,1379.9931818181817,1354.358181818182,1363.6168181818182,400774438,22
2024-10,SBILIFE,1722.3840909090907,1742.0272727272727,1696.7977272727273,1711.6477272727273,35029448,22
2024-10,SBIN,799.8409090909091,809.7909090909092,791.8272727272728,800.6363636363636,305080510,22
2024-10,SHRIRAMFIN,3327.306818181818,3378.9704545454547,3260.409090909091,3307.0386363636367,36103732,22
2024-10,SUNPHARMA,1896.2977272727273,1913.3068181818182,1874.175,1890.8681818181817,38309046,22
2024-10,TATACONSUM,1079.4704545454545,1088.7295454545454,1060.918181818182,1071.5272727272727,42363810,22
2024-10,TATAMOTORS,908.1295454545453,916.5886363636364,891.7863636363636,901.0272727272727,274830221,22
2024-10,TATASTEEL,156.66590909090908,158.3831818181818,154.07409090909093,155.7759090909091,890300067,22
2024-10,TCS,4139.718181818182,4179.261363636364,4107.49090909091,4136.147727272727,51094057,22
2024-10,TECHM,1669.55,1692.6204545454545,1647.2772727272727,1668.85,54226938,22
2024-10,TITAN,3464.15,3494.009090909091,3403.3931818181813,3436.4477272727277,22331618,22
2024-10,TRENT,7691.215909090909,7794.825,7538.320454545454,7663.781818181818,16207508,22
2024-10,ULTRACEMCO,11244.615909090908,11362.6,11110.620454545455,11223.713636363636,7415975,22
2024-10,WIPRO,542.3159090909091,550.1227272727273,535.5954545454546,541.5590909090909,193435359,22
